1,U2,Ernia
2,Doppelganger,Madman
3,Cake,88glam
4,Bella,Ernia
5,Rotten,Nitro
6,Specialist,Ensi
7,Sexy,Joe Ville
8,Mood,24kGoldn
9,Patatrac,Madman
10,Head lines,Drake
